Team,C,1B,2B,SS,3B,LF,CF,RF,DH
ARI,Gabriel Moreno,Pavin Smith,Ketel Marte,Geraldo Perdomo,Nolan Arenado,Lourdes Gurriel Jr.,Tim Tawa,Corbin Carroll,
ATH,Shea Langeliers,Nick Kurtz,Jeff McNeil,Jacob Wilson,Max Muncy (ATH),Tyler Soderstrom,Lawrence Butler,Brent Rooker,
ATL,Drake Baldwin,Matt Olson,Ozzie Albies,Ha-Seong Kim,Austin Riley,Jurickson Profar,Michael Harris II,Ronald Acuña Jr.,
BAL,Adley Rutschman,Pete Alonso,Jackson Holliday,Gunnar Henderson,Jordan Westburg,Taylor Ward,Colton Cowser,Dylan Beavers,
BOS,Carlos Narváez,Willson Contreras,Kristian Campbell,Trevor Story,Caleb Durbin,Roman Anthony,Jarren Duran,Wilyer Abreu,Masataka Yoshida
CHC,Carson Kelly,Michael Busch,Nico Hoerner,Dansby Swanson,Alex Bregman,Seiya Suzuki,Pete Crow-Armstrong,Ian Happ,
CHW,Kyle Teel,Curtis Mead,Lenyn Sosa,Colson Montgomery,Munetaka Murakami,Austin Hays,Brooks Baldwin,Andrew Benintendi,
CIN,Tyler Stephenson,Sal Stewart,Matt McLain,Elly De La Cruz,Eugenio Suárez,Spencer Steer,TJ Friedl,Noelvi Marte,
CLE,Bo Naylor,Kyle Manzardo,Travis Bazzana,Gabriel Arias,José Ramírez,Steven Kwan,Daniel Schneemann,CJ Kayfus,George Valera
COL,Hunter Goodman,Charlie Condon,Willi Castro,Ezequiel Tovar,Kyle Karros,Mickey Moniak,Brenton Doyle,Tyler Freeman,
DET,Dillon Dingler,Spencer Torkelson,Gleyber Torres,Kevin McGonigle,Colt Keith,Riley Greene,Parker Meadows,Kerry Carpenter,
HOU,Yainer Diaz,Christian Walker,Jose Altuve,Jeremy Peña,Isaac Paredes,Yordan Alvarez,Jake Meyers,Cam Smith,
KC,Salvador Perez,Vinnie Pasquantino,Jonathan India,Bobby Witt Jr.,Maikel Garcia,Isaac Collins,Lane Thomas,Jac Caglianone,
LAA,Logan O'Hoppe,Nolan Schanuel,Christian Moore,Zach Neto,Yoán Moncada,Josh Lowe,Jo Adell,Mike Trout,
LAD,Will Smith,Freddie Freeman,Tommy Edman,Mookie Betts,Max Muncy (LAD),Andy Pages,Hyeseong Kim,Kyle Tucker,Shohei Ohtani
MIA,Agustín Ramírez,Liam Hicks,Xavier Edwards,Otto Lopez,Connor Norby,Kyle Stowers,Jakob Marsee,Heriberto Hernández,
MIL,William Contreras,Andrew Vaughn,Brice Turang,Joey Ortiz,,Jackson Chourio,Sal Frelick,Christian Yelich,
MIN,Ryan Jeffers,Josh Bell,Luke Keaschall,Brooks Lee,Royce Lewis,Trevor Larnach,Byron Buxton,Matt Wallner,
NYM,Francisco Alvarez,Ryan Clifford,Marcus Semien,Francisco Lindor,Mark Vientos,Carson Benge,Luis Robert Jr.,Juan Soto,
NYY,Austin Wells,Ben Rice,Jazz Chisholm Jr.,José Caballero,Ryan McMahon,Cody Bellinger,Trent Grisham,Aaron Judge,
PHI,J.T. Realmuto,Bryce Harper,Bryson Stott,Trea Turner,Alec Bohm,Brandon Marsh,Johan Rojas,Adolis García,Kyle Schwarber
PIT,Joey Bart,Ryan O'Hearn,Brandon Lowe,Konnor Griffin,Jared Triolo,Jake Mangum,Oneil Cruz,Bryan Reynolds,
SD,Freddy Fermin,Gavin Sheets,Jake Cronenworth,Xander Bogaerts,Manny Machado,Ramón Laureano,Jackson Merrill,Fernando Tatis Jr.,Luis Campusano
SEA,Cal Raleigh,Josh Naylor,Brendan Donovan,J.P. Crawford,,Randy Arozarena,Julio Rodríguez,Dominic Canzone,
SF,Patrick Bailey,Rafael Devers,Tyler Fitzgerald,Willy Adames,Matt Chapman,Heliot Ramos,Jung Hoo Lee,Jerar Encarnacion,Bryce Eldridge
STL,Iván Herrera,Alec Burleson,José Fermín,JJ Wetherholt,Nolan Gorman,Lars Nootbaar,Victor Scott II,Jordan Walker,
TB,Nick Fortes,Yandy Díaz,Gavin Lux,Carson Williams,Junior Caminero,Chandler Simpson,Cedric Mullins,Jake Fraley,
TEX,Danny Jansen,Jake Burger,Ezequiel Duran,Corey Seager,Josh Jung,Wyatt Langford,Evan Carter,Alejandro Osuna,Joc Pederson
TOR,Alejandro Kirk,Vladimir Guerrero Jr.,Andrés Giménez,Ernie Clement,Kazuma Okamoto,George Springer,Daulton Varsho,Addison Barger,
WSN,Harry Ford,Abimelec Ortiz,Luis García Jr.,CJ Abrams,Brady House,James Wood,Dylan Crews,Daylen Lile,
